capture_index,seed,biome,settlement,size,models,units,slope,sheet
36,mc-opening-03,coastal,city,small,1,1,100,city-small-03.jpg
37,mc-opening-03,coastal,city,medium,1,1,100,city-medium-03.jpg
38,mc-opening-03,desert,city,medium,1,1,100,city-medium-03.jpg
39,mc-opening-03,snowy,city,medium,1,1,100,city-medium-03.jpg
40,mc-opening-03,temperate,city,medium,1,1,100,city-medium-03.jpg
41,mc-opening-03,temperate,town,medium,1,1,100,town-medium-03.jpg
42,mc-opening-03,snowy,town,medium,1,1,100,town-medium-03.jpg
43,mc-opening-03,desert,town,medium,1,1,100,town-medium-03.jpg
44,mc-opening-03,coastal,town,medium,1,1,100,town-medium-03.jpg
45,mc-opening-03,coastal,rural,medium,1,1,100,rural-medium-03.jpg
46,mc-opening-03,desert,rural,medium,1,1,100,rural-medium-03.jpg
47,mc-opening-03,snowy,rural,medium,1,1,100,rural-medium-03.jpg
48,mc-opening-03,temperate,rural,medium,1,1,100,rural-medium-03.jpg
49,mc-opening-02,temperate,rural,medium,1,1,100,rural-medium-02.jpg
50,mc-opening-02,snowy,rural,medium,1,1,100,rural-medium-02.jpg
51,mc-opening-02,desert,rural,medium,1,1,100,rural-medium-02.jpg
52,mc-opening-02,coastal,rural,medium,1,1,100,rural-medium-02.jpg
53,mc-opening-02,coastal,town,medium,1,1,100,town-medium-02.jpg
54,mc-opening-02,desert,town,medium,1,1,100,town-medium-02.jpg
55,mc-opening-02,snowy,town,medium,1,1,100,town-medium-02.jpg
56,mc-opening-02,temperate,town,medium,1,1,100,town-medium-02.jpg
57,mc-opening-02,temperate,city,medium,1,1,100,city-medium-02.jpg
58,mc-opening-02,snowy,city,medium,1,1,100,city-medium-02.jpg
59,mc-opening-02,desert,city,medium,1,1,100,city-medium-02.jpg
60,mc-opening-02,coastal,city,medium,1,1,100,city-medium-02.jpg
61,mc-opening-01,coastal,city,medium,1,1,100,city-medium-01.jpg
62,mc-opening-01,desert,city,medium,1,1,100,city-medium-01.jpg
63,mc-opening-01,snowy,city,medium,1,1,100,city-medium-01.jpg
64,mc-opening-01,temperate,city,medium,1,1,100,city-medium-01.jpg
65,mc-opening-01,temperate,town,medium,1,1,100,town-medium-01.jpg
66,mc-opening-01,snowy,town,medium,1,1,100,town-medium-01.jpg
67,mc-opening-01,desert,town,medium,1,1,100,town-medium-01.jpg
68,mc-opening-01,coastal,town,medium,1,1,100,town-medium-01.jpg
69,mc-opening-01,coastal,rural,medium,1,1,100,rural-medium-01.jpg
70,mc-opening-01,desert,rural,medium,1,1,100,rural-medium-01.jpg
71,mc-opening-01,snowy,rural,medium,1,1,100,rural-medium-01.jpg
72,mc-opening-01,temperate,rural,medium,1,1,100,rural-medium-01.jpg
73,mc-opening-01,temperate,rural,large,1,1,100,rural-large-01.jpg
74,mc-opening-01,snowy,rural,large,1,1,100,rural-large-01.jpg
75,mc-opening-01,desert,rural,large,1,1,100,rural-large-01.jpg
76,mc-opening-01,coastal,rural,large,1,1,100,rural-large-01.jpg
77,mc-opening-01,coastal,town,large,1,1,100,town-large-01.jpg
78,mc-opening-01,desert,town,large,1,1,100,town-large-01.jpg
79,mc-opening-01,snowy,town,large,1,1,100,town-large-01.jpg
80,mc-opening-01,temperate,town,large,1,1,100,town-large-01.jpg
81,mc-opening-01,temperate,city,large,1,1,100,city-large-01.jpg
82,mc-opening-01,snowy,city,large,1,1,100,city-large-01.jpg
83,mc-opening-01,desert,city,large,1,1,100,city-large-01.jpg
84,mc-opening-01,coastal,city,large,1,1,100,city-large-01.jpg
85,mc-opening-02,coastal,city,large,1,1,100,city-large-02.jpg
86,mc-opening-02,desert,city,large,1,1,100,city-large-02.jpg
87,mc-opening-02,snowy,city,large,1,1,100,city-large-02.jpg
88,mc-opening-02,temperate,city,large,1,1,100,city-large-02.jpg
89,mc-opening-02,temperate,town,large,1,1,100,town-large-02.jpg
90,mc-opening-02,snowy,town,large,1,1,100,town-large-02.jpg
91,mc-opening-02,desert,town,large,1,1,100,town-large-02.jpg
92,mc-opening-02,coastal,town,large,1,1,100,town-large-02.jpg
93,mc-opening-02,coastal,rural,large,1,1,100,rural-large-02.jpg
94,mc-opening-02,desert,rural,large,1,1,100,rural-large-02.jpg
95,mc-opening-02,snowy,rural,large,1,1,100,rural-large-02.jpg
96,mc-opening-02,temperate,rural,large,1,1,100,rural-large-02.jpg
97,mc-opening-03,temperate,rural,large,1,1,100,rural-large-03.jpg
98,mc-opening-03,snowy,rural,large,1,1,100,rural-large-03.jpg
99,mc-opening-03,desert,rural,large,1,1,100,rural-large-03.jpg
100,mc-opening-03,coastal,rural,large,1,1,100,rural-large-03.jpg
101,mc-opening-03,coastal,town,large,1,1,100,town-large-03.jpg
102,mc-opening-03,desert,town,large,1,1,100,town-large-03.jpg
103,mc-opening-03,snowy,town,large,1,1,100,town-large-03.jpg
104,mc-opening-03,temperate,town,large,1,1,100,town-large-03.jpg
105,mc-opening-03,temperate,city,large,1,1,100,city-large-03.jpg
106,mc-opening-03,snowy,city,large,1,1,100,city-large-03.jpg
107,mc-opening-03,desert,city,large,1,1,100,city-large-03.jpg
108,mc-opening-03,coastal,city,large,1,1,100,city-large-03.jpg
