seed,x,y,z,surface,openingTurns
qa813-snowy-rural-medium-0,52,2,43,snow,3
qa813-snowy-rural-medium-0,49,1,45,snow,0
qa813-snowy-rural-medium-0,29,2,48,rock,1
qa813-snowy-rural-medium-0,32,1,49,rock,1
qa813-snowy-rural-medium-0,14,5,51,snow,3
qa813-snowy-rural-medium-1,36,3,8,rock,3
qa813-snowy-rural-medium-1,20,2,14,snow,1
qa813-snowy-rural-medium-1,43,2,16,snow,0
qa813-snowy-rural-medium-1,38,1,35,rock,1
qa813-snowy-rural-medium-1,68,1,38,rock,1
qa813-snowy-rural-medium-1,14,4,61,rock,2
qa813-snowy-rural-medium-1,14,3,64,rock,2
qa813-snowy-rural-medium-2,16,0,20,snow,3
qa813-snowy-rural-medium-2,14,1,25,snow,0
qa813-snowy-rural-medium-2,8,4,50,rock,3
qa813-snowy-rural-large-0,47,3,2,snow,1
qa813-snowy-rural-large-0,14,0,6,snow,0
qa813-snowy-rural-large-0,41,4,6,snow,3
qa813-snowy-rural-large-0,31,1,8,snow,1
qa813-snowy-rural-large-0,39,2,57,rock,1
qa813-snowy-rural-large-0,31,1,73,snow,2
qa813-snowy-rural-large-0,32,1,86,snow,0
qa813-snowy-rural-large-0,63,0,90,rock,0
qa813-snowy-rural-large-1,57,0,5,snow,2
qa813-snowy-rural-large-1,34,0,14,rock,1
qa813-snowy-rural-large-1,29,4,23,snow,0
qa813-snowy-rural-large-1,80,0,24,rock,2
qa813-snowy-rural-large-1,19,0,27,rock,2
qa813-snowy-rural-large-1,32,0,43,rock,3
qa813-snowy-rural-large-1,3,0,71,snow,3
qa813-snowy-rural-large-1,51,2,78,snow,2
qa813-snowy-rural-large-2,22,0,7,rock,0
qa813-snowy-rural-large-2,68,4,9,snow,1
qa813-snowy-rural-large-2,59,4,35,snow,1
qa813-snowy-rural-large-2,65,2,37,snow,1
qa813-snowy-rural-large-2,68,0,65,snow,1
qa813-snowy-rural-large-2,24,1,71,snow,1
qa813-snowy-rural-large-2,8,1,74,snow,0
qa813-snowy-rural-large-2,78,0,74,snow,2
qa813-snowy-rural-large-2,89,2,78,snow,1
qa813-snowy-rural-large-2,35,2,88,rock,2
qa813-snowy-town-small-0,23,4,1,snow,2
qa813-snowy-town-small-0,25,0,29,snow,3
qa813-snowy-town-medium-0,28,2,4,snow,1
qa813-snowy-town-medium-1,6,2,44,rock,0
qa813-snowy-town-medium-1,61,1,50,snow,1
qa813-snowy-town-medium-2,5,3,64,snow,1
qa813-snowy-town-medium-2,8,2,66,snow,0
qa813-snowy-town-large-0,8,0,23,rock,3
qa813-snowy-town-large-0,91,0,37,snow,0
qa813-snowy-town-large-0,57,0,49,snow,2
qa813-snowy-town-large-0,57,0,54,rock,0
qa813-snowy-town-large-1,76,0,76,snow,1
qa813-snowy-town-large-1,88,0,86,snow,1
qa813-snowy-town-large-2,14,2,3,snow,0
qa813-snowy-town-large-2,29,0,5,snow,2
qa813-snowy-town-large-2,27,0,7,snow,1
qa813-snowy-town-large-2,14,4,9,snow,0
qa813-snowy-town-large-2,14,4,12,snow,2
qa813-snowy-town-large-2,37,2,29,rock,3
qa813-desert-rural-small-0,25,1,9,sand,0
qa813-desert-rural-small-0,21,3,11,rock,1
qa813-desert-rural-small-1,3,1,39,sand,0
qa813-desert-rural-small-1,6,1,41,sand,1
qa813-desert-rural-medium-0,33,3,27,sand,2
qa813-desert-rural-medium-0,12,1,43,sand,0
qa813-desert-rural-medium-0,11,1,46,sand,3
qa813-desert-rural-medium-1,50,3,6,rock,2
qa813-desert-rural-medium-1,14,1,30,sand,2
qa813-desert-rural-medium-2,23,0,43,rock,1
qa813-desert-rural-large-0,9,0,26,sand,3
qa813-desert-rural-large-1,50,0,13,sand,2
qa813-desert-rural-large-1,76,3,24,sand,2
qa813-desert-rural-large-1,93,0,41,sand,1
qa813-desert-rural-large-1,10,1,78,sand,3
qa813-desert-rural-large-2,24,3,14,sand,2
qa813-desert-rural-large-2,9,0,25,rock,3
qa813-desert-rural-large-2,29,1,50,sand,1
qa813-desert-rural-large-2,88,1,60,sand,1
qa813-desert-town-small-1,33,1,4,sand,2
qa813-desert-town-small-1,3,1,17,rock,3
qa813-desert-town-medium-1,23,3,46,rock,0
qa813-desert-town-medium-1,32,2,61,sand,3
qa813-desert-town-large-0,67,3,19,sand,2
qa813-desert-town-large-0,67,0,40,rock,2
qa813-desert-town-large-0,41,3,88,sand,2
qa813-desert-town-large-1,83,1,6,sand,2
qa813-desert-town-large-1,86,1,33,rock,1
qa813-desert-town-large-1,47,2,83,rock,3
qa813-desert-town-large-2,7,2,35,sand,0
qa813-coastal-rural-medium-0,48,0,46,dirt,0
qa813-coastal-rural-medium-1,22,0,39,sand,0
qa813-coastal-rural-medium-2,38,0,36,dirt,1
qa813-coastal-rural-large-0,34,0,86,dirt,3
qa813-coastal-rural-large-1,23,0,64,dirt,3
qa813-coastal-rural-large-1,63,0,65,sand,1
qa813-coastal-rural-large-2,8,0,50,dirt,1
qa813-coastal-rural-large-2,90,1,57,dirt,1
qa813-coastal-town-small-1,37,0,37,grass,1
qa813-coastal-town-medium-1,3,1,64,sand,3
qa813-coastal-town-medium-2,7,0,36,dirt,0
qa813-coastal-town-large-0,94,0,18,sand,2
qa813-coastal-town-large-0,57,0,24,grass,2
qa813-coastal-town-large-0,73,0,57,dirt,3
qa813-coastal-town-large-1,82,0,59,dirt,0
qa813-coastal-town-large-1,80,1,79,grass,3
qa813-coastal-town-large-2,57,0,67,grass,0
